adres,postcode,type,m2,kamers,prijs,prijstype
Mullerhoofd 101, Rotterdam,Woning,235 m²,7 kamers,€ 1.250.000 k.k.,k.k.
Voorschoterlaan 128 B,"3062 KV,  Rotterdam",NA,136 m²,5 kamers,€ 525.000 k.k.,k.k.
Wijnhaven 67 R,"3011 WJ,  Rotterdam",Appartement,121 m²,3 kamers,€ 500.000 k.k.,k.k.
Statenweg 166 A,"3039 JP,  Rotterdam",Appartement,144 m²,5 kamers,€ 450.000 k.k.,k.k.
Ruitenborghstraat 26,"3077 PH,  Rotterdam",Eengezinswoning,134 m²,5 kamers,€ 235.000 k.k.,k.k.
Bergsingel 102 A,"3037 GK,  Rotterdam",Appartement,151 m²,6 kamers,€ 425.000 k.k.,k.k.
Jacques Dutilhweg 585,"3065 JH,  Rotterdam",Penthouse,92 m²,3 kamers,€ 335.000 k.k.,k.k.
Ogierssingel 11,"3076 CN,  Rotterdam",Woning,90 m²,5 kamers,€ 275.000 k.k.,k.k.
Wijnhaven 65 C 13,"3011 WJ,  Rotterdam",Penthouse,123 m²,3 kamers,€ 695.000 v.o.n.,v.o.n.
Hilledijk 190 A,"3074 GA,  Rotterdam",Appartement,77 m²,3 kamers,€ 165.500 k.k.,k.k.
Oppert 186,"3011 HV,  Rotterdam",Bovenwoning,93 m²,NA,€ 385.000 k.k.,k.k.
Eerste Middellandstraat 65 A,"3021 BB,  Rotterdam",Benedenwoning,127 m²,3 kamers,€ 300.000 k.k.,k.k.
Koenraad Bothstraat 98,"3065 KM,  Rotterdam",Appartement,80 m²,3 kamers,€ 250.000 k.k.,k.k.
Adrianalaan 203,"3053 ZC,  Rotterdam",Herenhuis,115 m²,5 kamers,Prijs op aanvraag ,
Trondheimpad 31,"3067 DM,  Rotterdam",Tussenwoning,110 m²,5 kamers,€ 275.000 k.k.,k.k.
Heijbergstraat 7,"3055 PP,  Rotterdam",Tussenwoning,122 m²,5 kamers,€ 550.000 k.k.,k.k.
Brandingdijk 224,"3059 RB,  Rotterdam",Appartement,100 m²,3 kamers,€ 325.000 k.k.,k.k.
Lokhorst 44,"3085 WZ,  Rotterdam",Tussenwoning,153 m²,6 kamers,€ 295.000 k.k.,k.k.
Oostmaaslaan 217 B,"3063 AT,  Rotterdam",Benedenwoning,68 m²,3 kamers,€ 239.000 k.k.,k.k.
Blaak 666,"3011 TA,  Rotterdam",Appartement,85 m²,3 kamers,€ 450.000 k.k.,k.k.
Teilingerstraat 34,"3032 AW,  Rotterdam",Woning,82 m²,3 kamers,€ 289.000 k.k.,k.k.
Cargadoorskade 53,"3071 AW,  Rotterdam",Appartement,97 m²,3 kamers,€ 300.000 k.k.,k.k.
Van Beethovensingel 130,"3055 JM,  Rotterdam",Appartement,87 m²,4 kamers,€ 289.000 k.k.,k.k.
Wijnkade 75,"3011 VZ,  Rotterdam",Woning,109 m²,3 kamers,€ 425.000 k.k.,k.k.
Halfrond 57,"3071 PP,  Rotterdam",Appartement,94 m²,3 kamers,€ 275.000 k.k.,k.k.
Kortenaerstraat 26 B,"3012 VE,  Rotterdam",Benedenwoning,126 m²,4 kamers,€ 475.000 k.k.,k.k.
Vlaskade 88,"3087 EK,  Rotterdam",Appartement,87 m²,4 kamers,€ 189.000 k.k.,k.k.
Waterloostraat 163,"3062 TM,  Rotterdam",Appartement,93 m²,3 kamers,€ 365.000 k.k.,k.k.
Noorderhavenkade 137aii,"3039 RP,  Rotterdam",Woning,76 m²,3 kamers,€ 235.000 k.k.,k.k.
De Genestetplein 3,"3027 AZ,  Rotterdam",Appartement,109 m²,4 kamers,€ 299.750 k.k.,k.k.
Graaf Jan van Nassaustraat 1 B,"3051 GD,  Rotterdam",Appartement,101 m²,5 kamers,€ 249.500 k.k.,k.k.
Statensingel 118 C,"3039 LT,  Rotterdam",Woning,82 m²,4 kamers,€ 349.000 k.k.,k.k.
Van der Horstraat 10a-i,"3039 VK,  Rotterdam",Woning,93 m²,5 kamers,€ 295.000 k.k.,k.k.
Mullerkade 671,"3024 EP,  Rotterdam",Appartement,73 m²,2 kamers,€ 290.000 k.k.,k.k.
Wijnbrugstraat 317,"3011 XW,  Rotterdam",Appartement,72 m²,3 kamers,€ 350.000 k.k.,k.k.
Curieplaats 159,"3069 HD,  Rotterdam",Appartement,105 m²,5 kamers,€ 189.000 k.k.,k.k.
Slotstraat 28 B,"3062 PR,  Rotterdam",Appartement,62 m²,2 kamers,€ 225.000 k.k.,k.k.
Beukelsweg 24 Ai,"3022 GH,  Rotterdam",Bovenwoning,107 m²,6 kamers,€ 300.000 k.k.,k.k.
Sint-jobskade 70,"3024 EN,  Rotterdam",Appartement,69 m²,2 kamers,€ 220.000 k.k.,k.k.
Wilgenlei 108 C,"3052 CJ,  Rotterdam",NA,61 m²,3 kamers,€ 164.000 k.k.,k.k.
Rosener Manzstraat 169 D,"3026 TR,  Rotterdam",Woning,60 m²,3 kamers,€ 145.000 k.k.,k.k.
Heemraadssingel 114,"3021 DH,  Rotterdam",Herenhuis,270 m²,12 kamers,€ 1.050.000 k.k.,k.k.
Lange Hilleweg 38 A,"3073 BR,  Rotterdam",Appartement,114 m²,4 kamers,€ 270.000 k.k.,k.k.
Van Ballegooijsingel 26,"3055 PC,  Rotterdam",Hoekwoning,145 m²,6 kamers,€ 750.000 k.k.,k.k.
Noorderhavenkade 96 A,"3038 XP,  Rotterdam",Benedenwoning,76 m²,3 kamers,€ 275.000 k.k.,k.k.
Diepenbrocklaan 11,"3055 WB,  Rotterdam",Tussenwoning,150 m²,6 kamers,€ 595.000 k.k.,k.k.
Bergpolderstraat 41 Ai,"3038 KA,  Rotterdam",Bovenwoning,75 m²,4 kamers,€ 250.000 k.k.,k.k.
Meent 75 E,"3011 JE,  Rotterdam",Bovenwoning,75 m²,NA,€ 290.000 k.k.,k.k.
Soetensteeg 56,"3011 GS,  Rotterdam",Bovenwoning,63 m²,NA,€ 275.000 k.k.,k.k.
Algiersstraat,"3067 MZ,  Rotterdam",Appartement,90 m²,3 kamers,€ 220.000 ,
Schepenstraat 108 A,"3039 NP,  Rotterdam",Woning,108 m²,5 kamers,€ 379.000 k.k.,k.k.
Gladiolusstraat 33 B,"3051 LE,  Rotterdam",Benedenwoning,77 m²,3 kamers,€ 275.000 k.k.,k.k.
Gordelweg 134 A,"3038 GC,  Rotterdam",Woning,86 m²,3 kamers,€ 199.000 k.k.,k.k.
Nolensstraat 41 C,"3039 PM,  Rotterdam",Appartement,113 m²,4 kamers,€ 345.000 k.k.,k.k.
Rijnhavenkade Ong,"3072 JS,  Rotterdam",Appartement,354 m²,NA,€ 2.658.000 v.o.n.,v.o.n.
Rijnhavenkade Ong,"3072 JS,  Rotterdam",Appartement,157 m²,NA,€ 1.004.000 v.o.n.,v.o.n.
Van Beethovensingel 39,"3055 JG,  Rotterdam",Appartement,83 m²,3 kamers,€ 325.000 k.k.,k.k.
Kerkwervesingel 89,"3086 HL,  Rotterdam",Appartement,54 m²,2 kamers,€ 129.500 k.k.,k.k.
Bentinckplein 88,"3039 KP,  Rotterdam",Appartement,61 m²,4 kamers,€ 200.000 k.k.,k.k.
Van der Duijn van Maasdamweg 48,"3045 PE,  Rotterdam",Tussenwoning,149 m²,5 kamers,€ 535.000 k.k.,k.k.
Paul van Ostaijenstraat 23,"3069 JW,  Rotterdam",Tussenwoning,96 m²,5 kamers,€ 275.000 k.k.,k.k.
De Raedt 1 3, Rotterdam,Appartement,133 m²,3 kamers,€ 620.000 v.o.n.,v.o.n.
Marie van Eijsden-vinkstraat 81,"3066 JB,  Rotterdam",Penthouse,180 m²,4 kamers,€ 599.000 ,
Park Bijdorp 41,"3054 AX,  Rotterdam",Appartement,153 m²,4 kamers,€ 735.000 k.k.,k.k.
Buitenbassinweg 643,"3063 TL,  Rotterdam",Appartement,91 m²,3 kamers,€ 325.000 k.k.,k.k.
Cornelis Heinricksestraat 59,"3078 HJ,  Rotterdam",Appartement,72 m²,3 kamers,€ 149.000 k.k.,k.k.
Anatole Franceplaats 330,"3069 BA,  Rotterdam",Appartement,84 m²,4 kamers,€ 175.000 k.k.,k.k.
Noordsingel 83 B,"3035 EL,  Rotterdam",Appartement,95 m²,3 kamers,€ 419.000 k.k.,k.k.
Jan Pettersonstraat 16,"3077 MN,  Rotterdam",Appartement,89 m²,3 kamers,€ 259.000 k.k.,k.k.
Beukelsweg 14 B,"3022 GH,  Rotterdam",Benedenwoning,71 m²,3 kamers,€ 330.000 ,
Barcelonastraat 38,"3067 WC,  Rotterdam",Eengezinswoning,105 m²,5 kamers,€ 200.000 k.k.,k.k.
Vredenoordlaan 64 B,"3061 RP,  Rotterdam",Appartement,68 m²,3 kamers,€ 245.000 k.k.,k.k.
Kritostraat 54,"3076 BH,  Rotterdam",Appartement,70 m²,4 kamers,€ 125.000 k.k.,k.k.
Te Huur Ad Bilderdijkstraat 31 T M 33 In de Nabije Omgeving Treft U Diverse Winkels Aan Openbaar Ver, Rotterdam,Woning,70 m²,NA,Prijs op aanvraag ,
Lisztlaan 40,"3055 KH,  Rotterdam",Hoekwoning,110 m²,4 kamers,€ 595.000 k.k.,k.k.
Kralingse Plaslaan 61 B,"3061 BA,  Rotterdam",Appartement,136 m²,3 kamers,€ 550.000 k.k.,k.k.
Hebronstraat 10 A,"3061 KD,  Rotterdam",Woonboot,80 m²,3 kamers,€ 309.000 k.k.,k.k.
Beijerlandsestraat 11 A,"3074 RA,  Rotterdam",Appartement,90 m²,3 kamers,€ 200.000 k.k.,k.k.
Schapendreef 299,"3034 ZL,  Rotterdam",Woning,73 m²,3 kamers,€ 249.000 k.k.,k.k.
The Cooltower 33 M 2,"3011 CC,  Rotterdam",Appartement,97 m²,3 kamers,€ 525.000 v.o.n.,v.o.n.
Ogierssingel 265,"3076 CT,  Rotterdam",Appartement,69 m²,3 kamers,€ 125.000 k.k.,k.k.
Maaskade 148 C,"3071 NN,  Rotterdam",Appartement,77 m²,3 kamers,€ 235.000 k.k.,k.k.
Straatweg 119,"3054 AC,  Rotterdam",NA,379 m²,3 kamers,€ 3.350.000 k.k.,k.k.
Dirkslandstraat 76 A,"3086 CN,  Rotterdam",Appartement,53 m²,2 kamers,€ 119.500 k.k.,k.k.
Rotterdamse Rijweg 56,"3043 BM,  Rotterdam",Woning,280 m²,6 kamers,€ 850.000 k.k.,k.k.
The Cooltower 29 K 1,"3011 CC,  Rotterdam",Appartement,103 m²,3 kamers,€ 535.000 v.o.n.,v.o.n.
Hoflaan 70,"3062 JJ,  Rotterdam",NA,305 m²,3 kamers,€ 2.000.000 k.k.,k.k.
Herman Robbersstraat 100 B,"3031 RL,  Rotterdam",Appartement,67 m²,3 kamers,€ 285.000 k.k.,k.k.
Mathenesserlaan 135 01 R,"3015 CJ,  Rotterdam",Appartement,124 m²,4 kamers,€ 370.000 k.k.,k.k.
Jan Pettersonstraat 70,"3077 MN,  Rotterdam",Appartement,89 m²,3 kamers,€ 269.000 k.k.,k.k.
Randweg 38 A,"3074 BP,  Rotterdam",Benedenwoning,70 m²,NA,€ 199.950 ,
Zenostraat 164,"3076 AX,  Rotterdam",Appartement,74 m²,3 kamers,€ 149.500 k.k.,k.k.
Pompenburg 114,"3032 EM,  Rotterdam",Appartement,101 m²,3 kamers,€ 325.000 k.k.,k.k.
Rose-spoorstraat 39,"3071 EN,  Rotterdam",Appartement,74 m²,3 kamers,€ 195.000 k.k.,k.k.
Bethlehemstraat 5 B,"3061 GA,  Rotterdam",Bovenwoning,123 m²,NA,€ 395.000 k.k.,k.k.
Toulondreef 55,"3067 WK,  Rotterdam",Eengezinswoning,105 m²,4 kamers,€ 240.000 ,
Snellinckstraat 45 B,"3021 WD,  Rotterdam",Appartement,73 m²,3 kamers,€ 175.000 k.k.,k.k.
Stockholmpad 17,"3067 DK,  Rotterdam",Tussenwoning,92 m²,4 kamers,€ 189.500 k.k.,k.k.
Beijerlandselaan 12 A,"3074 EJ,  Rotterdam",Penthouse,95 m²,3 kamers,€ 285.000 k.k.,k.k.
The Cooltower 28 O 3,"3011 CC,  Rotterdam",Appartement,144 m²,4 kamers,€ 860.000 v.o.n.,v.o.n.
Dresselhuysstraat 13 A,"3039 ZH,  Rotterdam",Benedenwoning,114 m²,3 kamers,€ 435.000 k.k.,k.k.
Wilgenlei 33,"3052 CA,  Rotterdam",Herenhuis,156 m²,4 kamers,€ 599.000 k.k.,k.k.
Ringvaartweg 132,"3065 AE,  Rotterdam",NA,115 m²,NA,€ 798.000 k.k.,k.k.
Blaak 237,"3011 GB,  Rotterdam",Appartement,101 m²,4 kamers,€ 400.000 k.k.,k.k.
Voorschoterlaan 41 B,"3062 KH,  Rotterdam",Appartement,196 m²,6 kamers,€ 725.000 k.k.,k.k.
Villaproject Rotterdam, Rotterdam,Vrijstaande woning,250 m²,NA,Prijs op aanvraag ,
Provenierssingel 10,"3033 EK,  Rotterdam",NA,287 m²,NA,€ 845.000 k.k.,k.k.
Hordijk 70,"3079 DK,  Rotterdam",Tussenwoning,100 m²,4 kamers,€ 209.500 k.k.,k.k.
Russischestraat 82 A,"3028 BJ,  Rotterdam",Benedenwoning,55 m²,NA,€ 120.000 ,
Delftweg 347,"3046 NH,  Rotterdam",Woning,172 m²,4 kamers,€ 439.000 ,
The Cooltower 43 I 4,"3011 CC,  Rotterdam",Appartement,76 m²,3 kamers,€ 430.000 v.o.n.,v.o.n.
The Cooltower 47 P 3,"3011 CC,  Rotterdam",Penthouse,200 m²,4 kamers,€ 1.200.000 v.o.n.,v.o.n.
The Cooltower 25 O 1,"3011 CC,  Rotterdam",Appartement,141 m²,4 kamers,€ 740.000 v.o.n.,v.o.n.
Theseusstraat 7,"3054 RZ,  Rotterdam",Appartement,90 m²,3 kamers,Prijs op aanvraag ,
Goudsesingel 418,"3011 KN,  Rotterdam",Appartement,72 m²,3 kamers,Prijs op aanvraag ,
Nehrusingel 192,"3066 VN,  Rotterdam",Herenhuis,138 m²,6 kamers,€ 479.000 k.k.,k.k.
Zernikeplaats 320,"3068 ZS,  Rotterdam",Appartement,78 m²,3 kamers,Prijs op aanvraag ,
Koninginneweg 41,"3077 LG,  Rotterdam",Woning,115 m²,5 kamers,€ 275.000 k.k.,k.k.
Turfweg 81,"3065 AJ,  Rotterdam",Vrijstaande woning,238 m²,7 kamers,€ 997.500 k.k.,k.k.
Mozartlaan 111,"3055 KJ,  Rotterdam",Appartement,78 m²,3 kamers,€ 230.000 k.k.,k.k.
Van Beuningenstraat 9 01 L,"3039 WC,  Rotterdam",Vrijstaande woning,93 m²,4 kamers,€ 348.500 k.k.,k.k.
Koninginneweg 163,"3078 GM,  Rotterdam",Eengezinswoning,75 m²,2 kamers,€ 225.000 k.k.,k.k.
Wijnhaven 67 Q,"3011 WJ,  Rotterdam",Landhuis,102 m²,3 kamers,€ 395.000 k.k.,k.k.
The Cooltower 39 I 4,"3011 CC,  Rotterdam",Appartement,76 m²,3 kamers,€ 410.000 v.o.n.,v.o.n.
The Cooltower 31 H 1,"3011 CC,  Rotterdam",Appartement,61 m²,2 kamers,€ 310.000 v.o.n.,v.o.n.
The Cooltower 44 K 4,"3011 CC,  Rotterdam",Woning,103 m²,3 kamers,€ 610.000 v.o.n.,v.o.n.
Zernikeplaats 214,"3068 ZP,  Rotterdam",Appartement,90 m²,4 kamers,Prijs op aanvraag ,
Van Langendonckstraat 5,"3076 SG,  Rotterdam",Tussenwoning,66 m²,4 kamers,€ 199.500 k.k.,k.k.
Lamsrustlaan 339,"3054 VG,  Rotterdam",NA,201 m²,2 kamers,€ 850.000 k.k.,k.k.
Adrianalaan 349 C,"3053 JA,  Rotterdam",Vrijstaande woning,180 m²,6 kamers,€ 699.000 k.k.,k.k.
The Cooltower 36 H 3,"3011 CC,  Rotterdam",Appartement,61 m²,2 kamers,€ 315.000 v.o.n.,v.o.n.
Fenix Loft Appartementen-katendrecht 2 20, Rotterdam,Appartement,141 m²,NA,€ 725.000 v.o.n.,v.o.n.
Blokmakersstraat 8,"3025 NH,  Rotterdam",Vrijstaande woning,129 m²,4 kamers,€ 400.000 k.k.,k.k.
Berglustlaan 18,"3054 BH,  Rotterdam",Tussenwoning,108 m²,4 kamers,€ 525.000 k.k.,k.k.
Willemsplein 504,"3016 DR,  Rotterdam",Appartement,113 m²,3 kamers,€ 399.000 k.k.,k.k.
Schiekade 600,"3032 AZ,  Rotterdam",NA,165 m²,2 kamers,€ 425.000 k.k.,k.k.
The Cooltower 36 J 4,"3011 CC,  Rotterdam",Appartement,141 m²,4 kamers,€ 760.000 v.o.n.,v.o.n.
Librijesteeg 315,"3011 HN,  Rotterdam",Penthouse,223 m²,5 kamers,€ 1.195.000 k.k.,k.k.
Djeddalaan 138,"3067 MT,  Rotterdam",Appartement,100 m²,3 kamers,€ 225.000 k.k.,k.k.
Verlengde Nieuwstraat 219, Rotterdam,Appartement,93 m²,3 kamers,€ 435.000 k.k.,k.k.
Willemskade 16 -l,"3016 DL,  Rotterdam",NA,134 m²,2 kamers,€ 850.000 k.k.,k.k.
Molenlaan 275,"3055 GE,  Rotterdam",Herenhuis,181 m²,7 kamers,Prijs op aanvraag ,
Gedempte Zalmhaven 679,"3011 BT,  Rotterdam",NA,100 m²,2 kamers,€ 435.000 k.k.,k.k.
Kasbahhof 6,"3025 NS,  Rotterdam",Woning,105 m²,5 kamers,€ 350.000 k.k.,k.k.
Willy den Oudenstraat 21,"3056 AD,  Rotterdam",Herenhuis,160 m²,4 kamers,€ 565.000 k.k.,k.k.
Chris Bennekerslaan 27 -h, Rotterdam,NA,109 m²,2 kamers,€ 549.000 k.k.,k.k.
West-varkenoordseweg 361 A,"3075 LX,  Rotterdam",Bovenwoning,96 m²,4 kamers,€ 185.000 k.k.,k.k.
Kandelaarweg 71,"3047 EV,  Rotterdam",Woonboerderij,407 m²,9 kamers,€ 1.250.000 k.k.,k.k.
Wilgensingel 183,"3053 CX,  Rotterdam",Herenhuis,149 m²,6 kamers,€ 575.000 k.k.,k.k.
Villaproject Rotterdam, Rotterdam,Vrijstaande woning,250 m²,NA,Prijs op aanvraag ,
The Cooltower 41 J 5,"3011 CC,  Rotterdam",Appartement,142 m²,4 kamers,€ 805.000 v.o.n.,v.o.n.
Mullerkade 223,"3024 EP,  Rotterdam",Appartement,102 m²,3 kamers,€ 375.000 k.k.,k.k.
Hofweg 65,"3046 NJ,  Rotterdam",Bungalow,325 m²,8 kamers,€ 1.095.000 k.k.,k.k.
Nijenburg 18,"3085 KM,  Rotterdam",Tussenwoning,100 m²,4 kamers,€ 239.000 k.k.,k.k.
Wijnbrugstraat 347,"3011 XW,  Rotterdam",Appartement,79 m²,3 kamers,€ 349.000 k.k.,k.k.
Delftweg 33 C,"3043 CC,  Rotterdam",Appartement,76 m²,3 kamers,€ 275.000 k.k.,k.k.
Dillenburglaan 1,"3062 BE,  Rotterdam",Villa,275 m²,7 kamers,€ 1.799.000 k.k.,k.k.
Pieter de Hoochstraat 42 L 3,"3024 CS,  Rotterdam",Woning,180 m²,6 kamers,€ 625.000 k.k.,k.k.
Charloisse Hoofd 79 A,"3087 CA,  Rotterdam",Bovenwoning,92 m²,NA,€ 325.000 k.k.,k.k.
Laan van Woudestein 27,"3062 PD,  Rotterdam",NA,711 m²,3 kamers,€ 2.950.000 k.k.,k.k.
's-gravenweg 454,"3065 SE,  Rotterdam",NA,824 m²,3 kamers,€ 2.750.000 k.k.,k.k.
S-gravenweg 568,"3065 SG,  Rotterdam",NA,428 m²,3 kamers,€ 2.175.000 k.k.,k.k.
Zuidhoek 163 A,"3082 PG,  Rotterdam",Dubbele bovenwoning,141 m²,6 kamers,€ 225.000 k.k.,k.k.
Nieuwe Binnenweg 15 -ab,"3014 GB,  Rotterdam",NA,240 m²,3 kamers,€ 550.000 k.k.,k.k.
Charlotte de Bourbonlaan 21 A,"3062 GB,  Rotterdam",Bovenwoning,147 m²,7 kamers,€ 479.000 k.k.,k.k.
J.b. Bakemakade 68,"3071 ME,  Rotterdam",Vrijstaande woning,115 m²,NA,€ 320.000 k.k.,k.k.
Paetsstraat 2 A,"3039 XP,  Rotterdam",Benedenwoning,111 m²,NA,€ 319.000 k.k.,k.k.
S-gravenweg 586,"3065 SG,  Rotterdam",Villa,235 m²,6 kamers,€ 1.595.000 k.k.,k.k.
Gerrit Verrijstkade 36,"3059 SK,  Rotterdam",Vrijstaande woning,262 m²,6 kamers,€ 1.050.000 k.k.,k.k.
Gaasp 16,"3068 GH,  Rotterdam",Tussenwoning,127 m²,6 kamers,€ 290.000 k.k.,k.k.
's-gravenweg 502,"3065 SG,  Rotterdam",Vrijstaande woning,366 m²,6 kamers,€ 2.100.000 k.k.,k.k.
Scheepmakerskade 2 A,"3011 VX,  Rotterdam",Woonboot,120 m²,3 kamers,€ 298.000 k.k.,k.k.
Coolhaven 449,"3023 BA,  Rotterdam",Bovenwoning,100 m²,4 kamers,€ 379.000 k.k.,k.k.
Beukelsweg 65 A 2,"3022 GE,  Rotterdam",Appartement,91 m²,3 kamers,€ 275.000 k.k.,k.k.
Rhijnvis Feithstraat 15,"3027 AX,  Rotterdam",Appartement,130 m²,NA,€ 275.000 ,
Dirkslandstraat 16,"3086 CK,  Rotterdam",Tussenwoning,127 m²,5 kamers,€ 285.000 k.k.,k.k.
Polderstraat 125,"3074 XH,  Rotterdam",Woning,110 m²,4 kamers,€ 250.000 k.k.,k.k.
Veerdam 1 Tegenover,"3016 DD,  Rotterdam",Woonboot,150 m²,6 kamers,€ 485.000 k.k.,k.k.
Oostmaaslaan 674,"3063 DJ,  Rotterdam",Penthouse,166 m²,4 kamers,€ 875.000 k.k.,k.k.
Eerste Schansstraat 31,"3025 XA,  Rotterdam",Garage,91 m²,NA,€ 12.000 k.k.,k.k.
Molenlaan 33,"3055 EE,  Rotterdam",Villa,240 m²,7 kamers,€ 1.235.000 k.k.,k.k.
Ringvaartweg 211,"3065 AD,  Rotterdam",Villa,280 m²,9 kamers,€ 1.695.000 k.k.,k.k.
Schieweg 86 A,"3038 BA,  Rotterdam",NA,70 m²,3 kamers,€ 140.000 k.k.,k.k.
Smitshoekseweg 215,"3084 LS,  Rotterdam",Vrijstaande woning,196 m²,5 kamers,€ 825.000 k.k.,k.k.
Overschieseweg 8 B,"3044 EE,  Rotterdam",Appartement,110 m²,4 kamers,€ 310.000 v.o.n.,v.o.n.
Brigadier Aad de Jonghof 1,"3069 RR,  Rotterdam",Vrijstaande woning,220 m²,4 kamers,€ 815.000 k.k.,k.k.
Vasteland 4,"3011 BK,  Rotterdam",NA,514 m²,NA,€ 84.810 ,
Kralingseweg 278,"3066 RA,  Rotterdam",Villa,350 m²,6 kamers,€ 1.485.000 k.k.,k.k.
Baljuwplein 4,"3033 XA,  Rotterdam",Bovenwoning,85 m²,4 kamers,€ 450.000 k.k.,k.k.
Bergse Linker Rottekade 89,"3056 LC,  Rotterdam",NA,218 m²,4 kamers,€ 775.000 k.k.,k.k.
Mohammed Roemhof 3,"3065 RJ,  Rotterdam",Vrijstaande woning,187 m²,7 kamers,€ 725.000 k.k.,k.k.
Mattenbiesstraat 16,"3056 RH,  Rotterdam",Maisonette,81 m²,3 kamers,€ 290.000 k.k.,k.k.
S-gravenweg 637,"3065 SC,  Rotterdam",Vrijstaande woning,217 m²,5 kamers,€ 1.025.000 k.k.,k.k.
Beukelsweg 19 A,"3022 GB,  Rotterdam",Benedenwoning,60 m²,2 kamers,€ 110.000 k.k.,k.k.
Kralingseweg 397,"3065 RD,  Rotterdam",Villa,346 m²,8 kamers,€ 1.690.000 k.k.,k.k.
S-gravenweg 805 B,"3065 SC,  Rotterdam",Vrijstaande woning,230 m²,5 kamers,€ 999.000 k.k.,k.k.
V O C -plein 8,"3024 SV,  Rotterdam",Appartement,89 m²,3 kamers,€ 300.000 k.k.,k.k.
Schiehavenkade 446,"3024 EZ,  Rotterdam",Penthouse,133 m²,1 kamer,€ 550.000 k.k.,k.k.
Pascalweg 70,"3076 JR,  Rotterdam",Herenhuis,190 m²,7 kamers,€ 499.000 k.k.,k.k.
Dirkslandstraat 84 C,"3086 CN,  Rotterdam",Appartement,60 m²,3 kamers,€ 135.000 k.k.,k.k.
Pleinweg 88 C,"3083 EJ,  Rotterdam",Bovenwoning,95 m²,4 kamers,€ 167.500 ,
Kipstraat 1 E,"3011 RR,  Rotterdam",NA,300 m²,4 kamers,€ 950.000 k.k.,k.k.
Strevelsweg 740,"3083 AR,  Rotterdam",NA,200 m²,4 kamers,Prijs op aanvraag ,
Wilhelminakade 651,"3072 AP,  Rotterdam",Appartement,223 m²,4 kamers,€ 999.000 v.o.n.,v.o.n.
Kapelstraat 71,"3024 CH,  Rotterdam",Appartement,212 m²,3 kamers,€ 799.500 k.k.,k.k.
Ringvaartweg 144 A,"3065 AE,  Rotterdam",Vrijstaande woning,287 m²,5 kamers,€ 1.150.000 v.o.n.,v.o.n.
Beukelaarsstraat 78 A,"3074 HG,  Rotterdam",Bovenwoning,150 m²,6 kamers,€ 290.000 k.k.,k.k.
Platostraat 96,"3076 BP,  Rotterdam",Hoekwoning,52 m²,2 kamers,€ 105.000 k.k.,k.k.
Kretalaan 31 Kretalaan,"3059 XL,  Rotterdam",NA,150 m²,NA,Prijs op aanvraag k.k.,k.k.
Madeliefstraat 55 B,"3083 TD,  Rotterdam",Appartement,58 m²,4 kamers,€ 90.000 k.k.,k.k.
Streksingel 37,"3054 HB,  Rotterdam",Appartement,73 m²,2 kamers,€ 167.500 k.k.,k.k.
Keersopstraat 15 Bcd & 17-19,"3044 EX,  Rotterdam",NA,1850 m²,NA,€ 1.500.000 ,
Ringvaartweg 235,"3065 AD,  Rotterdam",Villa,242 m²,7 kamers,€ 1.350.000 ,
's-gravenweg 625 C,"3065 SC,  Rotterdam",Villa,216 m²,6 kamers,€ 898.000 k.k.,k.k.
De Lamartinestraat 54,"3076 HB,  Rotterdam",Woning,70 m²,3 kamers,€ 184.500 ,
Brigadier Aad de Jonghof 5,"3069 RR,  Rotterdam",Villa,320 m²,5 kamers,€ 945.000 ,
Jufferstraat Te Huur, Rotterdam,NA,80 m²,NA,Prijs op aanvraag ,
Bronsdijk 24,"3079 PR,  Rotterdam",Benedenwoning,84 m²,4 kamers,€ 175.000 k.k.,k.k.
Polderlaan 10 A,"3074 ME,  Rotterdam",Appartement,80 m²,2 kamers,€ 169.000 k.k.,k.k.
Helmersstraat 13 -kop van Zuid,"3071 AD,  Rotterdam",Appartement,150 m²,3 kamers,Prijs op aanvraag ,
Slotstraat 26 D,"3062 PP,  Rotterdam",Bovenwoning,95 m²,4 kamers,€ 305.000 k.k.,k.k.
C.d.tuinenburgstraat 39 A,"3078 GB,  Rotterdam",Benedenwoning,54 m²,2 kamers,€ 120.000 k.k.,k.k.
Vennecoolstraat 9,"3067 NZ,  Rotterdam",Appartement,80 m²,4 kamers,€ 160.000 k.k.,k.k.
Engelsestraat 1 A,"3028 CA,  Rotterdam",Benedenwoning,58 m²,2 kamers,€ 145.000 k.k.,k.k.
Lilian Ngoyiweg 172,"3065 EG,  Rotterdam",Woning,140 m²,6 kamers,€ 560.000 k.k.,k.k.
Brandingdijk 260,"3059 RB,  Rotterdam",Penthouse,170 m²,3 kamers,€ 559.000 k.k.,k.k.
Steenvoorde 33,"3085 TL,  Rotterdam",Appartement,62 m²,2 kamers,€ 120.000 ,
Straatweg 206,"3054 AK,  Rotterdam",NA,275 m²,3 kamers,€ 3.650.000 k.k.,k.k.
Sommelsdijkstraat 24,"3086 BM,  Rotterdam",Eengezinswoning,125 m²,4 kamers,€ 274.900 k.k.,k.k.
Heenvlietstraat 26,"3081 SP,  Rotterdam",Tussenwoning,134 m²,5 kamers,€ 185.000 k.k.,k.k.
Groeneweg 44,"3059 LC,  Rotterdam",Vrijstaande woning,124 m²,5 kamers,€ 645.000 k.k.,k.k.
